"Фильм
","Рецензия
",Оценка
"Гладиатор
","Если вы хотите посмотреть исторически достоверный фильм об эпохе процветания Римской империи, то «Гладиатор» не для вас. Этот фильм является некоторым переосмыслением исторической эпохи, авторским кино, которое по-своему трактует происходящее в то время события.

Актёрская игра. В принципе, имена говорят сами за себя. Рассел Кроу, Хоакин Феникс уже давно зарекомендовали себя в качестве топовых актёров. И в этом фильме они вновь были на высоте. Ни грамма наигранных эмоций или неуверенных действий, только аутентичная подлинная игра. Особенно хорошо получился подлый, жаждущий власти и неуверенный в себе император Коммод, который вызывал лишь негативные эмоции, который не вызвал никакого сострадания и понимания, собственной, каким и должен быть по задумке режиссёра.

Антураж. Эта единственная часть фильма, которая меня немного расстроила, ведь антураж не совсем соответствует реальности. Я понимаю, что это всё-таки переосмысление, но даже при всём этой в сюжете должна присутствовать логика. К примеру, мне непонятно, почему шлемы гладиаторы надевали на голые головы, а не поддевали кожаный подшлемник. Такие моменты были и ещё, и они бросаются в глаза и делают картину менее пронизанной духом того времени. Но всё-таки преимущественно антураж был неимоверно крутым. Самое классное, что съёмки проводились в реальной локации, и нарисованных декораций при поставке сцен было минимум. От этого создавалось ощущение полного погружения в происходящую ситуацию.

Звуковое сопровождение и операторская работа. Для 2000-го года — это просто шедевр. Музыка была подобрана с заботой и сильно помогала воспринимать картину должным образом. Хочется также отметить и качество съёмки, которое для довольно давнего времени была настолько суперской, что даже в настоящее время не каждый фильм имеет такие показатели.

Сюжет. Ну и, конечно же, самое главное и вкусное — это сюжет. Вся картина целиком и полностью пропитана им, что позволяет сделать каждого персонажа значимым. Всё настолько продумано, что даже какой-нибудь третьесортный стражник в один момент повернут к зрителю лицом, зритель может его рассмотреть и понять его мотивы. Про главных персонажей я даже не говорю, ведь они до мозга костей пронизаны сюжетными изысками. Их история очень понятна: она иногда весела, иногда трагичная, иногда интригует. В принципе, сюжет построен так, что человек при просмотре испытывает чуть ли не все известные эмоции: и страх, и жалость, и гнев, и любопытство, и радость. Видно, что Ридли Скотт умеет делать кино, ведь что предыдущие его творения, что фильм «Гладиатор» — это настоящие образцы для подражания.

Вы обязаны это посмотреть. Даже если вы такой человек, что вам плохо заходят боевики (а я как раз-таки такой), то это кино всё равно заставит вас сесть, с восторгом наблюдать за происходящим, испытывая полную радугу эмоций.

9 из 10",1
"Гладиатор
","При всей своей зрелищности «Гладиатор» невозможно трактовать, как исторический фильм о парне, который устраивает на Колизее сплошной мясокомбинат. И дело даже не в том, что исторические события тут отображены недостоверно, от чего настоящие гладиаторы и римские сенаторы ржали бы над Ридли Скоттом, как на стендапе Джорджа Карлина. Лично я нахожу в этой киноленте оттенок политической драмы, которая разворачивается между двумя лагерями. Первый — под предводительством безумца и деспота Коммода. Ключевой фигурой второго лагеря является Максимус — гладиатор, бывший некогда лучшим генералом Римской империи, ставший в будущей жизни кандидатом в президенты Украины. Извините, но знаменитая сцена, где герой Рассела Кроу трогает пшеницу, навевает меня почему-то именно на эти мысли.

Шутки шутками, однако плюсы постановки сбрасывать со счетов не стоит. Хоть данную киноленту и окрестили самой корявой ввиду огромного количества ляпов (ляпы попадались различного уровня, вплоть до самых примитивных, когда в кадр попадал член съемочной группы в современных джинсах), масштаб картины поражает. Чтобы охватить всю толпу зрителей гладиаторских поединков, показанный киношный Колизей в два раза больше реального. Когда камера охватывает крупный кадр, особенно в начальной батальной сцене, видны все движения. Оператор играет о светом, затемняя картинку под нужный настрой. Музыкальное сопровождение хорошее, костюмеры постарались на славу.

Несмотря на то, что я не питаю особой симпатии к Расселу Кроу, его Максимус сочетает в себе те черты, которые формируют интерес у зрителя — опытный, задумчивый, мотивированный. Он верен своей империи, но в то же время мечтает о простой жизни, что становится заметно из диалога между ним и императором Марком Аврелием. После смерти императора власть переходит его сыну Коммоду, но Максимус отказывается присягать ему, и тот приказывает убить его жену и сына. Деморализованный Максимус попадает в рабство, где его хозяин Проксимо выставляет его на гладиаторские бои, подав одну занятную мысль — все зрители боев находятся в режиме «show must go on» и у любимца толпы есть своя толика власти.

Данная деталь выводит противостояние между Максимусом и императором Коммодом на новый уровень. Новоиспеченный император не питает любовь народа, а в Сенате плетутся интриги. В то же время в Рим на бои прибывает Максимус, и темная сторона Коммода проявляет себя. Из трусливого, закомплексованного мальчика в теле мужчины, он становится настоящим узурпатором, готовый убивать родственников и склонить свою сестру к инцесту. Сам персонаж при этом осознает свою ущербность и неспособность жить по чести, как Максимус, что делает его более неприятным. Значительный вклад в проработку персонажа внес актер Хоакин Феникс, имя которого несправедливо считается малоизвестным.

Определенно «Гладиатор» не претендует на уровень классики, как «Спартак» или «Бен-Гур». Но для своего уровня, а именно античного эпоса, фильм показывает себя как хорошего представителя жанра. Во всяком случае Ридли Скотт показал, что может потратить 100 миллионов долларов с пользой.",1
"Гладиатор
","В 2000-м году я, будучи ещё мальчуганом, вместе со своим отцом пошёл на премьеру этого фильма. С тех пор очень многое изменилось… Поменялась точка зрения на многие вещи, знания относительно разнообразных тем, включая историю древнего Рима стали более полными. Но осталось то ощущение с которым я вышел из кинотеатра 14 лет назад. Действие, развернувшееся в фильме меня заворожило. Я многого тогда не понимал, не знал ничего ни о Марке Аврелие, ни о гладиаторах, ни о Колизее, и смотрел преимущественно мультфильмы в перерывах между школьными занятиями и уличными играми с дворовой малышнёй.

И вот, началась первая битва с варварами… Стройные ряды легионеров двинулись вперёд, а их генерал врезался в самую гущу боя восседая на боевом скакуне. Музыка Ханца Циммера уже тогда отпечаталась в моём сознании, и в последствии где бы я её не слышал, я мог безошибочно определить «Эй, это ведь трек из Гладиатора!». До сих пор не слышал ничего более подходящего к героическому сражению…

Никогда я не слыхал и об актёрах, сыгравших в картине главные роли. Рассел Кроу, Хоакин Феникс, Ричард Харрис, Оливер Рид. Это только лишь увеличило доверие ко всему что там происходило, ведь актёрский состав выполнял свои задачи на отлично. Ярость или злость, радость, растерянность, боль утраты. Всё это было таким настоящим. Глаза наполнялись слезами, и сердце билось быстрее с каждым движением, с каждым словом. Всё приобретало свой смысл.

Когда не знаешь чего- то, легче воспринимать историю, которую тебе жаждут рассказать. Герой сначала наделён лишь именем, и вот, спустя секунду это уже человек из плоти и крови, он облачён в искусно сделанный доспех, и разит своих врагов острым как бритва мечом.

Я никогда не искал в фильмах исторической достоверности, если перед названием фильма не стояла приписка «документальный». Может быть абсолютно всё что показал зрителю Ридли Скотт- фантазия, но какой из великих фильмов не является фантазией? Разве возможно приблизившись к реальности показать историю по- настоящему великой чтобы у человека, воспринявшего это осталось ощущение понимания? Чтобы в разуме засели слова о чести, не омрачённые развратом и гнилью реальности…

Как бы там ни было. Я был тронут этим кино в тот самый день, когда мне выпало увидеть его в первый раз. А после, добрую сотню раз я крутил в видеомагнитофоне VHS кассету. Затем, спустя годы, раз за разом пересматривал диск. В общей сложности я успел услышать около пяти разных вариантов перевода, до того как впервые посмотрел «Гладиатор» на языке оригинала, и самолично нашёл довольно много мелких киноляпов.

Возможно многие не согласятся со мной, но я излагаю лишь своё скромное мнение, и оно состоит в том, что фильм стоит того чтобы его увидеть. В моей личной коллекции он занимает одно из самых почётных мест, ведь ощущения полученные мной когда- то, после очередного просмотра повторяются вновь и вновь.

Огромное спасибо за внимание.

10 из 10",1
"Гладиатор
","Фильм, несмотря на его длительную продолжительность (аж в 171 мин!), почти три часа, с первых кадров затягивает и смотрится на одном дыхании. Сидя перед экраном, зритель уже не существует в этом мире, он сопереживает глав герою, бьется вместе с ним на арене, то есть на все время фильма находится там, с Максимусом.

История выдающегося полководца, служащего Священной Империи, преисполнена славой, болью, предательством, утратами… Благодаря игре таких замечательных актеров как Рассел Кроу и Хоакин Феникс, потрясающей работе режиссера, да и всего съемочного коллектива, фильм по праву является шедевром нашего времени.

Я очень люблю актера Хоакина Феникса и его игру по фильмам «Знаки», «Таинственный Лес» и других, но в «Гладиаторе», его мастерство, несомненно, вышло на новый уровень. Персонаж Хоакина вызывает неподдельное отвращение и неприязнь. Актеру удалось гениально войти в образ безжалостного убийцы, тирана и узурпатора, сумевшего поставить на колени Империю, хоть и на короткий промежуток времени.

Фильм-шедевр. Лично я просмотрел его несчетное количество раз, не уставая восхищаться проделанной работой создателей. Воистину классика.

10 из 10",1
"Гладиатор
","Снимать фильмы на историческую тематику труднее всего. Сценаристам нужно руководствоваться историческими справками и не делать исторических ошибок. Художникам-постановщикам необходимо сверяться с фотографиями и картинами, о которых снимается фильм. Режиссеру приходится усердно работать, чтобы передать в картине атмосферу того времени. Актеры работают над собой, чтобы больше быть похожими на людей тех событий.

Есть фильмы, которые меняют историю. И дело даже не в полученных наградах, а в особом духе, который бывает только в гениальных работах. «Гладиатор» — еще одно эпохальное творение Ридли Скотта, мощность которого трудно переоценить. Пронзительное, зрелищное и невероятно захватывающее действие, которое обязательно должен просмотреть каждый. Массовый зритель, как посетитель Колизея, желает зрелищ. И этот фильм может ему их дать…

Историю о мужестве и чести, дружбе и благородство, преданность родине и императору передают на экране Расселл Кроу, Оливер Рид, Дерек Джекоби и Дэвид Скофилд. Я считаю, что сила этого фильма в искренних эмоциях, в подлинной истории, которая поражает своей реалистичностью, духом того времени и привлекательными персонажами. Титанический труд Ридли Скота был не напрасным. Доказательством этого является множество наград и любовь зрителя. По моему мнению, этот фильм своей актуальности не утратит никогда, потому что таких художественных шедевров мало, и то, что мы делаем отзывается в вечности.

10 из 10",1
"Гладиатор
","Гладиатор' - это исторический фильм о Риме и его народе в целом, а также о некоторых индивидуумах в отдельности. Рассказывать сюжет не имеет смысла потому, как это всё-равно, что пересказывать историю Рима. Конечно же, есть некоторые исторические несоответствия, но кто на это обратит внимание. Ведь благодаря игре замечательных актёров и безумно эмоциональной и красивой музыке Ханса Циммера и Лизы Джеррард остальные детали вообще не имеют смысла.

Все мы умираем. К сожалению, не мы решаем, как. Но мы можем решить, как встретить свой конец, чтобы нас запомнили мужчинами. (с)

Фильм заканчивается словами гладиатора друга Максимуса: «Мы ещё встретимся с тобой. Но не сейчас…» и панорамой Рима на фоне заката. Есть предположения, что таким образом показан закат самого Рима и всей античности, переживших в следующие сто лет глубочайший кризис.

— Однажды один мудрый человек сказал мне, что смерть улыбается всем нам и нужно лишь улыбнуться ей в ответ.

— И что? Он улыбнулся своей смерти в лицо?

— Тебе видней, это сказал твой отец…(с)

Фильм номинировался на 119 наград и получил 48. Наиболее значимые из них: 5 Оскаров, 2 Золотых Глобуса и 4 премии BAFTA. Картина занимает почётное место в моей домашней коллекции. Это тот самый фильм, который по праву можно назвать историческим шедевром!!

Смотреть его можно миллионы раз, интерес не пропадёт никогда, равнодушным эта картина не оставит никого.

10 из 10",1
"Гладиатор
","Полностью окунувших с головой в этот фильм, не хочется возвращаться. Хотя Гладиатор содержит исторические ошибки, но они по сути, вовсе не портят фильм. О чем эта картина нам повествует? Может о Римской империи? Хотя наверняка о великом человеке?! А может о тиранах, в истории их было не мало?!

На этот вопрос ответить очень трудно, так как фильм это сочетание всего этого. Это приводит в восторг. Мне нравятся фильмы к которым были приложены старания. Представьте, как трудно снимать подобное кино. Кино вызывающие уважение, собственно как и Ридли Скотт всегда популярно и его всегда приятно посмотреть.

Фильм настолько потряс, что даже не то, что бы я забыл про 'несостыковочки', мне не захотелось просто напросто о них вспоминать. Историческое кино наполненное огромной долей отваги, духа того времени очень приятно смотреть.

'Я служу Риму' - это выражение заставляет сокращаться сердце еще быстрее. Ведь на самом деле были такие, посвятившие себя служению Риму. Рим - это не город, Рим - это мечта, которая существовала не одно столетие, но как и всё в этом мире кануло в прошлое.

Трудно сказать, что снять такой фильм - это подвиг. Скорее всего просто знак уважения предкам. Отдавать дань должного людям тех времен - это наш долг. Сколько героизма и самоотдачи было тогда в людях?! Сколько веры в свою страну и патриотизма?! Очень и очень много. Мы должны восхищаться и стараться быть похожими на таких людей, как персонаж генерал Максимус, которого сыграл несравненный Рассел Кроу.

Прекрасно снятое кино с хорошими актёрами заслуживает

10 из 10",1
"Гладиатор
","Я большой любитель красивой, интригующей фантастики('Аватар', 'Принц Персии', 'Монстро'...) и боевиков, где все смачно взрывается и много стреляют, но при этом рассказывается интересная история('Матрица', 'Терминатор 2: Судный День'...) Но недавно я задумался, что стоит рости в культурном уровне, поэтому решил смотреть 'Оскароносные' фильмы с глубоким смыслом и моралью. И остановился я на 'Гладиаторе' Ридли Скотта.

Как только увидел хронометраж, то подумал, что придется смотреть фильм где-то захода в два. Но я так и не заметил, как пролетели эти волшебные 3 часа... Вот помню, что начал смотреть фильм - а вот уже и финальные кадры с панорамой Рима под прекрасную и трогательную музыку Ханса Зиммера.

Про 'Гладиатора' можно рассказывать очень и очень долго, описывать каждую деталь, обсуждать каждый момент картины. Я лишь только скажу про главные плюсы фильма: бесподобная игра Хоакина Феникса и Рассела Кроу(он же еще и продемонстрировал хорошее владение мечом); отлично показаные гладиаторские бои; завораживающая атмосфера Древнего Рима и т.д.

Итог: эта лента достойна вашего внимания! Каждый, кто любит кино, должен посмотреть это! Ведь 'Оскары' не просто так раздают.

10 из 10

'Максимус! Максимус! Максимус!'",1
"Гладиатор
","Уверен что про этот фильм уже много чего написано и все уже проанализировано до самых мельчайших подробностей и про хорошую работу режиссера, сценаристов, актеров и так далее, но пересмотрев этот фильм раз так 3 – 4 я так и не нашел к чему придраться. Это просто один из самых потрясающих, красивых и захватывающих кинокартин в мире, который может вполне тягаться с трилогией «Властелин колец» и самым великим фильмом за всю историю человечества «Звездные воины».

На все сто сыграли актеры, выжав из своих образов все до последней капли на столько, что их становится даже жалко, что они стали в какой – то мере актерами одной роли, которую зритель в других фильмах и будет представлять и опираться на них.

Музыка в этом фильме просто сверхъестественная, которая просто, играет с чувствами человека, делая с ним что угодно. Она не просто для сопровождения, каких – либо событий, она выступает в роли ещё одного главного героя, от которого очень многое зависит.

Очень красиво воссозданы костюмы героев, и хорошие спецэффекты являются весомым дополнением к фильму. Отлично показаны гладиаторские бои, которые в основном не играют большой роли в сюжетной линии, но они украшают киноленту и оправдывают её название.

Просмотрев его в первый раз, этот фильм оставил в моей душе просто огромный отпечаток, превзойдя все мои ожидания в тысячу раз, и до сих пор он остается для меня одним из самых лучших фильмов.

10 из 10",1
"Гладиатор
","Это мой самый любимый фильм. Я на нем выросла, с каждым просмотром как будто открывалось что-то еще. Сначала просто нравились сцены борьбы с дикими зверьми, великолепные костюмы Люциллы, жизнь Рима, сама история (к слову выдуманная). Потом, с возрастом, начал просвечиваться смысл фильма, не всё дается в жизни легко, за правду, за свое счастье, за счастье дорогих тебе людей нужно бороться, необходимо все время чем-то жертвовать. Потом, когда и самой впервые становилось действительно тяжело, нередко на ум приходил его подвиг, держалась, терпела. Этот фильм многому меня научил. Здесь и предательство, и горе, и возмездие, и возвышение, и печаль, и долг, и радость.

И сила, и честь.

Советую всем, кто не смотрел (если такие есть).",1
"Гладиатор
","Фильм достоверный, сделан очень красиво и профессионально, но чего-то не хватает. Не тянет пересматривать. Действие, пожалуй, слишком затянуто, и пафоса через край. Сразу видно, что американцы делали.

Но есть один огромный плюс: гениальный Хоакин Феникс, который по всем статьям переиграл титулованного и обласканного критиками Рассела Кроу. Мало у кого из актёров ещё можно наблюдать такой сильный контраст с другими ролями. Такой злодей получился, что просто мурашки по коже. Бр-р-р! Потрясающе!",0
"Гладиатор
","Раньше я никогда не смотрел исторические драмы, поэтому многие популярные фильмы смотрю сейчас впервые. Не могу сказать, что этот жанр стал мне нравиться, но иногда попадается действительно хорошее кино даже для моего субъективного вкуса. Мимо 'Гладиатора' я не мог пройти, потому что с недавних времен Рассел Кроу стал моим любимым актером. В каждом новом фильме (новый исключительно для меня) он поражает меня все больше и больше.

Здесь он тоже хорош. Харизматичный генерал Максимус, который ведет за собой толпу. Обычно Кроу играет многогранных персонажей, которые совмещают в себе и силу духа, и некую мягкость взгляда ('Нокдаун', 'Три дня на побег'). Тут он выглядит более брутально. В общем, в образ гладиатора он вжился отлично, за что и получил заслуженную награду кино-академиков.

Сюжет обычный. Интриги, заговоры, предательства, месть, борьба за справедливость и т.д. Если честно, то получилось немного скучно. Досмотрел фильм только со второго раза. В первый раз я просто уснул ближе к концу. Слабо передана атмосфера той самой борьбы. Например, в 'Храбром сердце' этот момент более удачно реализован. А здесь все держится только на Кроу и величественной музыке. Хоакин Феникс тоже хорошо сыграл. Мне он запомнился.

Короче говоря, я не особо впечатлен фильмом. Ни о какой слезе, которые многие мне пророчили, не может быть и речи. Но не могу сказать, что я полностью разочарован. Для моего нелюбимого жанра вполне неплохо и Рассел великолепен. Ставлю среднюю оценку.

5 из 10",0
"Гладиатор
","Сразу скажу, что я органически не переношу Кроу и именно поэтому добралась до фильма только сейчас. Наверное, поэтому у меня не вызвала никаких эмоций история Максимуса, этакого 100% героя без недостатков и всего человеческого. Он мне показался чересчур искусственным и неправдоподобным.

А вот история Коммода заставила меня-таки досмотреть псевдоисторический опус Скотта. Хоакин Феникс с его демоническим взглядом прекрасно справился с ролью странного римского императора, создав образ человека, которого никто не любил... Коммод - это прямо ходячий пример для какого-нибудь фрейдистского исследования: сын, пытающийся всеми силами завоевать любовь отца. Блестяще.

Ну и снято, конечно, красиво с видами, розами, костюмами... Да и музыка хороша, подходит к общему антуражу.

А в целом - никак.

7 из 10",0
"Гладиатор
","Что-то не так. Сраженья, драки, заговор - всё, вроде есть в картине. Герой, как-будто тоже есть. Но, кажется, что нет.

Почему-то Максимус у Кроу получился холодным и бесцветным. У Феникса та же проблема: как надел маску в начале картины, так и пронёс её до финала.

Мёртвая игра. Мёртвые образы. Мёртвые герои.",0
"Гладиатор
","Гладиатор' - один из тех красивых и зрелищных экшнов, которые являются визитной карточкой Голливуда.

Казалось бы, сюжет обговорен, описан, отснят уже миллионы раз, но нет - режиссерам всегда найдется, что сказать, да так, чтобы мы, как завороженные, не отрывали взгляды от экранов. Тем более, Ридли Скотту - мастеру сиквелов набивших оскомину сюжетов.

Зрелищность фильма, разумеется, вне конкуренции - шикарная картинка, захватывающие бои гладиаторов, мужественное окровавленное лицо Рассела Кроу. В общем, все - как мы любим. Ура, товарищи!

Я бы на этом и закончила, если бы кинематографией интересовалась на уровне 'красиво - нравится'. К моему глубокому несчастью, я еще и люблю историю. А вот тут пора лить слезы.

Судя по всему, представление сценаристов об устройстве римского общества ограничивалось простой фабулой: 'Император главный, ну там полководцы всякие, ну народ... У них же вроде демократия была, нет?'

Поэтому столько фактических ляпов я давно не встречала в фильмах.

Есть среди них и те, которые заметят немногие: миссионерское одаривание хлебом бедняков (!) на первом (!) ряду (куда подевались все сенаторы и полководцы, если народ уже сместился с четвертого яруса?); выход полководца на арену с гладиаторами, дабы воспроизвести сражение (римская элита развлекает простолюдинов? Воистину демократическое общество!).

Но и просто очень смешные: всадники на лошадях, укомплектованных седлами и стременами, появившимися через два века, и мальчики, раздающие листовки за несколько сот лет до изобретения печатного станка.

Не сочтите за придирчивость, но, сугубо на мой взгляд, если фильм смело заявляет в своем названии 'Гладиатор', то историческая достоверность - его непременный атрибут.

За красивый и зрелищный фильм - 10 из 10.
За историческую безграмотность режиссерского состава - садитесь, два.",0
"Гладиатор
","Великолепный фильм! В конце я плакала, а это значит, что фильм действительно хорош. До 'Гладиатора', я вообще не признавала исторические фильмы, но после этого шедевра, я влюбилась в этот жанр. Всем советую посмотреть, не пожалеете!",0
"Гладиатор
","Рассел Кроу естественен и органичен — видимо, любовь к ручному фермерскому труду позволяет сохранить что-то природное в характере. Впрочем, это не означает, что «Гладиатор» — фильм одного актера. Хоакин Феникс ролью Комада (Коммодуса) обеспечил своей карьере «зеленую улицу» — это уже общеизвестный факт. Остальная актерская команда тоже на высоте.

Фильм довольно длинный, но я не готов утверждать, что затянутый. Более того — сложно представить, какие сцены можно сократить. У кого какие предложения? — я лично сдаюсь!

С момента выхода «Гладиатора» прошло уже 8 лет, но ни один последующий фильм на античную тематику — от неплохой «Трои» до картонных «Спартанцев» — пока не смог составить конкуренцию творению Ридли Скотта. Почти 10 лет лидерства — это уже заявка на место в киноистории!",0
"Гладиатор
","Фильм вышел, когда мне было всего 2 года. Прошло 15 лет, и я с глазами полными удивления созидала нечто ужасающе прекрасное.

Герои Рассела Кроу всегда отличались чем-то особым. Но Максимус - совершенно другой образ. Умён, храбр, верен как семье, так и Родине, хороший друг, надёжный боевой товарищ. Казалось бы, что ещё можно желать от жизни? Награды, признание, уважение. Но она слишком непредсказуема...

Отобрав у него всё самое ценное и трепетно оберегаемое, судьба обрекает Максимуса на недлинный путь, полный преград, злобы людей, зависти и в то же время - восхищения, преклонения перед его героизмом.

Генерал никогда ничего не просит. Для него главной ценностью всю жизнь была лишь его семья, а не ордена, дары и почёт. Как можно не восхищаться им?

О технической части. Фильм тщательно продуман до мельчайших деталей. Есть возможность любоваться кадром в один сценах, а в других - умирать от отвращения, ибо всё до невозможности правдоподобно.

Запомнились все герои, начиная со второстепенных. Все они без исключения разные и неповторимые в своём роде. Даже неприятнейший Коммод.

Особо впечатлила музыка, написанная к фильму, в частности 'Now We Are Free', обработанные версии которой часто использовали в разных частях фильма. Она невероятно прелестна, я до сих пор с мурашками вспоминаю этот неземной голос и момент, когда генерал молился.

Понимаю, что эта история могла потеряться в веках. И, поэтому спасибо всем, кто вложил хоть маленькую лепту в создание этого шедевра, кто не отдал на растерзание времени историю о Максимусе, благородном римском генерале, положившим жизнь ради памяти своих любимых и во имя Отчизны.",0
